"filename", "language", "pip requirements", "Python", "Shell Script", "PostCSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Coding\UARV\admin_panel\buttons.js", "JavaScript", 0, 0, 0, 0, 0, 162, 12, 31, 205
"c:\Coding\UARV\admin_panel\camera.js", "JavaScript", 0, 0, 0, 0, 0, 45, 10, 17, 72
"c:\Coding\UARV\admin_panel\index.html", "HTML", 0, 0, 0, 0, 132, 0, 2, 5, 139
"c:\Coding\UARV\admin_panel\map.js", "JavaScript", 0, 0, 0, 0, 0, 257, 11, 44, 312
"c:\Coding\UARV\admin_panel\mission_planner.css", "PostCSS", 0, 0, 0, 215, 0, 0, 0, 36, 251
"c:\Coding\UARV\admin_panel\mission_planner.html", "HTML", 0, 0, 0, 0, 95, 0, 0, 2, 97
"c:\Coding\UARV\admin_panel\mission_planner.js", "JavaScript", 0, 0, 0, 0, 0, 453, 15, 51, 519
"c:\Coding\UARV\admin_panel\stylesheet.css", "PostCSS", 0, 0, 0, 402, 0, 0, 3, 67, 472
"c:\Coding\UARV\controll_api.py", "Python", 0, 451, 0, 0, 0, 0, 37, 126, 614
"c:\Coding\UARV\mav_bridge.py", "Python", 0, 968, 0, 0, 0, 0, 186, 202, 1356
"c:\Coding\UARV\mav_bridge_backup.py", "Python", 0, 889, 0, 0, 0, 0, 178, 188, 1255
"c:\Coding\UARV\mav_test.py", "Python", 0, 144, 0, 0, 0, 0, 21, 27, 192
"c:\Coding\UARV\requirements.txt", "pip requirements", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Coding\UARV\servo_test.py", "Python", 0, 179, 0, 0, 0, 0, 62, 36, 277
"c:\Coding\UARV\update_uarv.sh", "Shell Script", 0, 0, 217, 0, 0, 0, 58, 95, 370
"Total", "-", 6, 2631, 217, 617, 227, 917, 595, 928, 6138